0.660775094844 0.617336065728 0.177366623889 0.828808855566 0.896924170533 0.42696292872,0.604077993456 0.752866113287 0.665926231281 0.826940551573 0.7485184018 0.083151803585
0.98107816968 0.309293994392 0.139612018495 0.698419901812 0.750979187321 0.626050080722,0.929430696961 0.155523142289 0.879518184248 0.109404430642 0.954975480797 0.234507210728
0.0241248004694 0.878124756477 0.778072451457 0.0481511502536 0.439163403178 0.611715657133,0.0488491096653 0.242698597661 0.935788434966 0.920222894955 0.500244803279 0.988107883843
0.729537332504 0.0726038542821 0.329379129608 0.34104344687 0.800376721115 0.584290606604,0.383748264254 0.238408425776 0.744460939337 0.671792920743 0.120213318375 0.344287592182
0.978194829551 0.417995982465 0.165435063616 0.632085676839 0.258867345977 0.263847811314,0.94533057271 0.373397648513 0.813118183304 0.287013371411 0.0484686184574 0.204556272295
0.178673938415 0.509768056831 0.987978735034 0.113001117492 0.313806130001 0.790569865851,0.0958344517595 0.44008472355 0.131391199483 0.41462733093 0.538820871838 0.194146179879
0.613074348112 0.0348466870758 0.842789123997 0.431266264648 0.199830494385 0.308792868522,0.842603419369 0.684669833112 0.488903704134 0.241029048708 0.534073596103 0.819201605795
0.112205404893 0.544015557842 0.0713870585921 0.755398711569 0.0734749336904 0.615153991913,0.547283225502 0.0704602560173 0.925255482473 0.356835674348 0.32206977663 0.152561519625
0.27030620526 0.98320137083 0.669410640347 0.768901757823 0.346048545965 0.953840681063,0.399671231969 0.843772860354 0.856450881124 0.334458782394 0.626140821491 0.141246164984
0.414617262189 0.641651810406 0.400348426736 0.653168180842 0.876922850136 0.532729058778,0.96018869138 0.318103760111 0.0629559573252 0.467464250291 0.38540988496 0.572630388324
0.347797409267 0.292859857148 0.602881955935 0.273654694182 0.448025570646 0.558171002028,0.321691856943 0.492370438186 0.324785371386 0.511453197381 0.610935753543 0.645028702814
0.760473847119 0.99186921009 0.972560115376 0.455627954533 0.293364484678 0.736834704607,0.564345400685 0.183557419434 0.5242442492 0.486680632155 0.410417453123 0.520967547052
0.840029766044 0.775429076187 0.142664776817 0.728934012847 0.01491188477 0.384245956978,0.849280378548 0.0861325204101 0.470952681531 0.750341360044 0.594523850377 0.395863650477
0.409857718047 0.133212655315 0.791996369751 0.542712951277 0.97227560973 0.526530517666,0.280135077059 0.687965526102 0.802105720703 0.281453704999 0.787977891891 0.643697177662
0.770303224767 0.767470685111 0.475848741134 0.147099473607 0.986551008129 0.070209564068,0.471536535165 0.738296095911 0.311196271448 0.356789249742 0.496048078154 0.940283264355
0.147288466803 0.546344242366 0.0814752292121 0.215888254572 0.679809876817 0.350173983012,0.332056699277 0.735085616568 0.571666211062 0.953442355148 0.507117841044 0.420347815101
0.601833486885 0.796073617811 0.0413711925033 0.442583448498 0.403355979579 0.598958064738,0.0280598859971 0.777034697295 0.207451911027 0.680090949293 0.852797321232 0.911432966258
0.212078493123 0.71031410741 0.225155239921 0.159963213609 0.0386446623655 0.745825792912,0.560716860087 0.802314193246 0.0530515816579 0.269706772887 0.657789412732 0.106730509366
0.432873147936 0.687399996977 0.277903197145 0.0581633878582 0.576012951768 0.740509683284,0.264306745574 0.0172428540173 0.105252814801 0.222958978629 0.49761040256 0.684950233757
0.891681598803 0.723751128337 0.589046993894 0.405678428441 0.0194922302049 0.761491343357,0.398641760518 0.237057551781 0.859386701642 0.280372648242 0.392123318517 0.817585975058
0.916002042151 0.247556540495 0.16771057121 0.313522909706 0.581502859637 0.970322707117,0.700552119139 0.287037620628 0.519385581349 0.19897125386 0.460094839157 0.75487441903
0.0788122927728 0.277759691615 0.269497965979 0.466215012401 0.145029839103 0.372428631161,0.379452706484 0.45547517468 0.0629959345238 0.445468594848 0.130677951541 0.463689103146
0.709077025051 0.0980370012714 0.163640717821 0.81742418238 0.937252861814 0.603483180647,0.458739583649 0.662296643563 0.743986316838 0.075167965707 0.52227712957 0.632373809374
0.0986877797341 0.781764551745 0.611803683263 0.451819560102 0.531775808914 0.923902562464,0.575873456325 0.601552223095 0.291308441694 0.302052009692 0.268992077429 0.393374373493
0.365011950027 0.198022051501 0.358306142552 0.0279755143928 0.838484821695 0.573953515994,0.992994485797 0.499628898304 0.436036695686 0.393354382671 0.121702507051 0.339440975097
0.494522511661 0.330764122337 0.381719984059 0.0463675966998 0.250702805751 0.701359190698,0.283340562808 0.0170247162925 0.553676261022 0.67304673755 0.422789334928 0.0215520738367
0.451015927373 0.86143553987 0.644078916818 0.574552986373 0.181900373367 0.619823523352,0.197766727833 0.667600535554 0.94826045616 0.0142987583898 0.257958580389 0.244300298752
0.526221512261 0.329067625903 0.644032067249 0.424772919077 0.139435113103 0.0508388938505,0.845973294723 0.443350066455 0.429412951864 0.842898598048 0.731722816454 0.6343167028
0.799122028709 0.910527581992 0.31449713764 0.41362646795 0.327617886444 0.205911843814,0.735292175189 0.44945769505 0.585362240842 0.0374836982929 0.127775578619 0.203231001171
0.187933392748 0.224871294059 0.642165463776 0.229176113529 0.668353068051 0.169479515917,0.0764450052735 0.668210181781 0.121491185223 0.502411734595 0.900240864843 0.371283996028
0.856938377606 0.13101518757 0.870246236414 0.590193696737 0.24379277947 0.923580211807,0.114599880488 0.878406504571 0.335616659936 0.950539676316 0.127491105238 0.324110243768
0.548054531275 0.560408804265 0.619903553272 0.155260974343 0.264840192012 0.655970652209,0.432325420583 0.328850982294 0.183405548143 0.851815890837 0.727763386482 0.918656073742
0.20368164382 0.388979461653 0.424469783603 0.352580349255 0.757643499032 0.904702295722,0.295562982141 0.0251787954838 0.862420842376 0.62392867747 0.00986727316486 0.46940434673
0.0737418890701 0.278620797261 0.110682202281 0.330402111634 0.351804265909 0.455005262117,0.743625086013 0.17140707524 0.669445959927 0.896525427444 0.68613483865 0.387520647146
0.562651138189 0.393528599359 0.763570136627 0.351265256076 0.925840243773 0.723166438375,0.152936610328 0.556818781053 0.57937837265 0.859946635598 0.185640663648 0.313215589752
0.0696590627542 0.319254025336 0.819900039635 0.432439541271 0.893927597914 0.895446039735,0.227813675664 0.239797169546 0.387276398256 0.452745647331 0.336275707068 0.177362073655
0.114021327376 0.222321093424 0.904658035228 0.232149904779 0.317491969676 0.409600355141,0.296035093114 0.351340788675 0.492586188067 0.82778418912 0.795181457058 0.406768435548
0.241266778151 0.31710759273 0.721856826049 0.597502234875 0.436021547583 0.823596960419,0.201381076666 0.963264173838 0.503153800511 0.325053707693 0.281488287001 0.718473727152
0.428316466911 0.984185247328 0.772046973823 0.809925910183 0.507977841705 0.540876721254,0.791009378938 0.0113776656092 0.100096841311 0.296419037736 0.235432699562 0.430858177872
0.331453111303 0.409543526456 0.828691072435 0.984776180236 0.867065353106 0.872882284517,0.113380817391 0.066524563502 0.875532458827 0.127771866795 0.40203108621 0.118129719741
0.0654385515746 0.325838304019 0.0390673236673 0.541266678637 0.362800188764 0.0155743937052,0.40097051715 0.704726117772 0.716016139525 0.385502605589 0.918547329375 0.435364252451
0.182322826533 0.642086655981 0.447863750616 0.840522763886 0.340317261219 0.520306796627,0.175384494912 0.96713848289 0.421809554601 0.582517636784 0.844902204896 0.761633886133
0.740361583504 0.814009813873 0.0211719885443 0.520521284869 0.52370776556 0.611412545167,0.635778487785 0.428079650761 0.776683325059 0.430483086117 0.66257820034 0.0965499954036
0.245698698536 0.802794465106 0.617049791958 0.24978376218 0.627246538372 0.280999253876,0.378895031402 0.265244199041 0.485242952029 0.33527543844 0.339179241345 0.654462505739
0.286896846243 0.637723885577 0.588427075197 0.731112145566 0.605937712143 0.79443426787,0.0399059633669 0.0606392355925 0.412949705939 0.974014340256 0.829366185019 0.135427548399
0.650720519732 0.826953942151 0.0887090415196 0.828694405504 0.00844563227578 0.430582004518,0.347369156258 0.173739114846 0.350697150654 0.184975984226 0.888175382652 0.859565887907
0.474378115032 0.292447892208 0.864091535264 0.922886473721 0.840592306121 0.624530918804,0.625589402495 0.187030841646 0.557364315914 0.985896327032 0.959173995576 0.212872404464
0.428909853484 0.455161479991 0.896764011441 0.543183636628 0.273453700344 0.349950855818,0.11725255256 0.3207195233 0.866207065362 0.582656126037 0.756889384888 0.98969639473
0.415283558118 0.0745924342413 0.0294324978007 0.0152072512965 0.940802402526 0.658626203166,0.384828017375 0.077986759179 0.977706289011 0.417737101339 0.0487707915002 0.0915091544162
0.817289832261 0.406045560793 0.473159012822 0.436080334578 0.368979172664 0.28681781026,0.409790345802 0.552349128899 0.577601807282 0.428618071823 0.592388061748 0.0868383355421
0.790949887946 0.00203041232904 0.76360595677 0.386894127144 0.0518627774592 0.601266129622,0.546680074 0.0343637001705 0.991609230732 0.138010862417 0.306359167266 0.195405058656
0.467290963954 0.173073285173 0.938515115274 0.673669320517 0.406638256884 0.321137475836,0.549163218613 0.987181578298 0.786577403256 0.631834987881 0.740565755781 0.962278556501
0.74560763257 0.867767046225 0.182678836435 0.149047039035 0.761918000011 0.258845928889,0.0352576669233 0.862752825647 0.45531555301 0.196358003152 0.235916932555 0.699615837873
0.646294810334 0.283967071259 0.92576317655 0.54103210011 0.258329424803 0.338666415211,0.419327571093 0.352879247584 0.153636098043 0.314472053125 0.896372557518 0.270801122854
0.461518940943 0.560388335333 0.346598156802 0.982330252604 0.136026287249 0.34960932929,0.389759589935 0.161830450551 0.98979499294 0.395965089893 0.151106875414 0.0287194775137
0.418133994439 0.369342921204 0.677805285391 0.394762964223 0.211479667249 0.371897635986,0.521408947504 0.423466187441 0.907255151334 0.878639449735 0.690727725144 0.92087446028
0.996588783549 0.723396187981 0.177907446447 0.66596969603 0.910333914562 0.823041171551,0.545944585614 0.186355575544 0.0420511432059 0.321767598361 0.226207080502 0.880904858233
0.670671376569 0.646927693423 0.0404487705298 0.28029731127 0.65187632787 0.23529516399,0.315414159327 0.52809072696 0.0245492898827 0.242231267588 0.353947159992 0.168167306915
0.362566728126 0.682603679164 0.279292969852 0.0488519125961 0.614574138711 0.955914733433,0.259653536819 0.203963486747 0.679684493602 0.303567254266 0.529351632398 0.544742195692
0.786955482395 0.294487023649 0.179503106498 0.895017484426 0.602698759284 0.068075736246,0.478431461579 0.511149712525 0.197211782182 0.472862298726 0.388149436443 0.245774335153
0.402078900691 0.0745680599284 0.328834349591 0.199531343291 0.658595476407 0.494903634086,0.974658178309 0.0920280555946 0.176464149625 0.920801386217 0.870407334265 0.522195649806
0.333844320089 0.569708156773 0.805231314327 0.834514108462 0.366802484095 0.801975389187,0.39623552346 0.661359211655 0.860472687283 0.106484450973 0.680036387812 0.197645121035
0.922558806523 0.680003006528 0.441612405289 0.182532097448 0.558413858474 0.557710954941,0.144503750543 0.754582991545 0.00815821008961 0.758199364464 0.175869177952 0.11454832483
0.0470115967216 0.201635371032 0.941523679715 0.721189151569 0.575925212022 0.724481409556,0.0476339070741 0.0501437227527 0.267489371559 0.712146976847 0.57331100761 0.152803799543
0.1878319579 0.910078168366 0.0696060206076 0.163565053346 0.916081049581 0.218821187363,0.865026916262 0.274609666316 0.57525917666 0.597242106811 0.902002166285 0.665156035244
0.649196525095 0.727796414592 0.626854995581 0.90747925936 0.164761191069 0.864068356059,0.945028122803 0.0199645695462 0.672057679207 0.918278324991 0.748785684717 0.611931865953
0.749907275905 0.564197784859 0.994084947984 0.0943977414878 0.906727945319 0.36419522164,0.912433073412 0.150469297206 0.43495409178 0.7566240971 0.845431211483 0.206508618401
0.59012614877 0.767664976266 0.154267067232 0.423184858974 0.511924172513 0.231212116121,0.383358909715 0.832009959595 0.1807582209 0.293754316535 0.360029056848 0.0735430517584
0.434219834835 0.795623790893 0.0197441922498 0.660732854087 0.0324275296523 0.950501227188,0.882627697667 0.272617290375 0.579961343445 0.265708185332 0.430602307311 0.194769466521
0.947181033746 0.718438402963 0.598867040846 0.252430138228 0.591408119232 0.594076425437,0.319813109048 0.563010371674 0.88032034087 0.840962390141 0.560956011084 0.378206218037
0.102883498953 0.811281832628 0.883848962229 0.775527363283 0.197354998795 0.894689006308,0.168370620253 0.346572121407 0.921819278195 0.514452318345 0.757427800744 0.948477593201
0.635773859089 0.411650936598 0.127430723341 0.865498916156 0.304152606965 0.604836175586,0.371304505115 0.389731389087 0.0360166164485 0.997542983908 0.0966946680073 0.971593302221
0.905648874944 0.281809464071 0.433146708305 0.844017225093 0.988768362303 0.853185996152,0.0970192549487 0.340602212558 0.227195836811 0.881080700272 0.845428521557 0.046289363367
0.11955839932 0.295713236296 0.241447284945 0.761746860883 0.10876290514 0.665734028129,0.0102756280628 0.42586760073 0.650993418642 0.749196787873 0.0608853641993 0.135396066401
0.925316118465 0.384290276957 0.301143959029 0.0218258258264 0.0723357273873 0.130546945065,0.54047751573 0.56742728681 0.501217123094 0.976131164012 0.221318426799 0.645954182491
